station,riviere,b,f,DMEAN,CA_RHT,S_RHT,FR50,DMEAN_H50,L50_H50,Perm.,Ero.,x,y,Source,Q50,ID_RHT,ID_TGH,Q1,Q2,L1,L2,H1,H2,S_CARHYCE,DMEAN/H50,Lqb/Hqb,Ratio L,%RIFFLES,H50/sd profil,W_CARHYCE,Tclasse,sd profil,W50/WQb,Wspe,PatternAerial,Pattern_RMC
Bouzaire_1,Bouzaire,0.036927753,0.061604792,0.093162975,25,82.2,0.189092659,0.55392352,28.52745592,1.607521135,5,656479.4442,2020760.493,ESTIMHAB,0.196,233328,,0.019,0.166,4.32,4.68,0.14,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Sianne_1,Sianne,0.173101362,0.20279798,0.057304616,105,10.8,0.154211493,0.195192805,26.24556673,1.540614417,4.994871795,665404.4961,2033285.441,ESTIMHAB,0.592,232969,,0.102,0.448,5.72,7.39,0.2,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Voireuze_1,Voireuze,0.106486577,0.317998973,0.050608847,59,20.2,0.190127909,0.243548157,25.25267241,1.439067572,5,663846.0143,2035487.827,ESTIMHAB,0.296,232921,,0.069,0.415,4.56,5.52,0.13,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Furan_4,Furan,0.087857854,0.364128673,0.060522186,177,5.3,0.16804208,0.19080219,30.47777125,1.468892962,4.019076762,751207.151,2058982.787,ESTIMHAB,0.909,232317,,0.587,0.936,9.32,9.71,0.27,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Auze_1,Auze,0.136911416,0.318512019,0.278285817,49,21,0.111937796,0.906473025,22.17554524,1.550938201,4.772996125,744999.0625,2013809.844,ESTIMHAB,0.406,233454,,0.142,0.376,5.89,6.73,0.22,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Duniere_3,Duniere,0.060955749,0.130964864,0.176262046,121,10.1,0.30233581,0.632433485,27.68372294,1,5,760349.0625,2025431.339,ESTIMHAB,1.075,233225,,0.533,1.227,7.48,7.87,0.26,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Lignon_2,Lignon du Velay,0.121420088,0.290496025,0.200361855,143,5.5,0.241967853,0.569126519,30.00050359,1.575263789,4.890628608,755892.3175,2007747.62,ESTIMHAB,1.672,233648,,0.669,1.801,9.47,10.68,0.27,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Ligne_1,Ligne,0.165896954,0.087733952,0.150630692,28,14.9,0.107334346,0.542515234,23.43273193,1.481024404,5,752948.9697,2008590.782,ESTIMHAB,0.32,233639,,0.043,0.197,4.7,6.05,0.21,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Mazeaux_1,Mazeaux,0.148853593,0.185677299,0.084109642,31,20.1,0.248774658,0.379332602,14.96783842,1,5,756019.0014,2015070.936,ESTIMHAB,0.27,233485,,0.109,0.305,2.9,3.38,0.19,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Siaulme_1,Siaulme,0.1754,0.271096755,0.0692214,25,20.4,0.204683666,0.450743675,24.64099964,1.136420788,4.09052808,743339.4791,2019647.024,ESTIMHAB,0.146,233372,,0.043,0.135,3.06,3.74,0.11,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Bernd_1,Bernd,0.148706115,0.381273231,0.074174223,33,13.9,0.124035284,0.52396608,30.04196545,1.125727316,4.748545369,743149.0625,2096427.741,ESTIMHAB,0.088,230540,,0.038,0.263,3.75,5,0.11,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Loise_1,Loise,0.122441219,0.310049513,0.018731445,133,3.3,0.106244672,0.064907124,26.46410884,1.003447829,4.714979508,748857.1493,2084932.788,ESTIMHAB,0.394,231306,,0.098,1.947,6.2,8.94,0.19,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
